name,description
iid,unique subject number group(wave id gender)
id,subject number within wave
gender,Female=0 Male=1
idg,subject number within gender group(id gender)
condtn,1=limited choice 2=extensive choice
wave,number of the experiment wave in which the interaction took place
round,number of people that met in wave
position,station number where met partner 
positin1,station number where started 
order,the number of date that night when met partner
partner,partner’s id number the night of event
pid,partner’s iid number
match,1=yes 0=no
int_corr,correlation between participant’s and partner’s ratings of interests in Time 1
samerace, and the partner were the same ethnicity. 1= yes 0=no
age_o,age of partner
race_o,ethnicity of partner
pf_o_att,partner’s stated preference at Time 1 (attr1_1) for all 6 attributes
dec_o,decision of partner the night of event
attr_o,rating by partner the night of the event for all 6 attributes
age,
field,field of study 
field_cd,field coded 1= Law2= Math3= Social Science Psychologist 4= Medical Science Pharmaceuticals and Bio Tech 5= Engineering 6= English/Creative Writing/ Journalism 7= History/Religion/Philosophy 8= Business/Econ/Finance 9= Education Academia 10= Biological Sciences/Chemistry/Physics 11= Social Work 12= Undergrad/undecided 13=Political Science/International Affairs 14=Film 15=Fine Arts/Arts Administration 16=Languages 17=Architecture 18=Other
undergrd,school attended for undergraduate degree
mn_sat,Median SAT score for the undergraduate institution where attended. Taken from Barron’s 25th Edition college profile book. Proxy for intelligence. tuition,Tuition listed for each response to undergrad in Barron’s 25th Edition college profile book.
race,Black/African American=1 European/Caucasian-American=2 Latino/Hispanic American=3 Asian/Pacific Islander/Asian-American=4 Native American=5 Other=6
imprace,How important is it to you (on a scale of 1-10) that a person you date be of the same racial/ethnic background?
imprelig,How important is it to you (on a scale of 1-10) that a person you date be of the same religious background?
from,Where are you from originally (before coming to Columbia)? 
zipcode,What was the zip code of the area where you grew up? 
income,Median household income based on zipcode using the Census Bureau website. When there is no income it means that they are either from abroad or did not enter their zip code.
goal,What is your primary goal in participating in this event? Seemed like a fun night out=1 To meet new people=2 To get a date=3 Looking for a serious relationship=4 To say I did it=5 Other=6
date,In general how frequently do you go on dates? Several times a week=1 Twice a week=2 Once a week=3 Twice a month=4 Once a month=5 Several times a year=6 Almost never=7
go out,How often do you go out (not necessarily on dates)? Several times a week=1 Twice a week=2 Once a week=3 Twice a month=4 Once a month=5 Several times a year=6 Almost never=7
career,What is your intended career?
career_c,career coded 1= Lawyer 2= Academic/Research 3= Psychologist 4= Doctor/Medicine 5=Engineer 6= Creative Arts/Entertainment 7= Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin 8= Real Estate 9= International/Humanitarian Affairs 10= Undecided 11=Social Work 12=Speech Pathology 13=Politics 14=Pro sports/Athletics 15=Other 16=Journalism 17=Architecture
sports,interest in Playing sports/ athletics on a scale of 1-10
tvsports,interest in Watching sports
excersice,interest in Body building/exercising
dining,interest in Dining out
museums,interest in Museums/galleries
art,interest in Art
hiking,interest in Hiking/camping
gaming,interest in Gaming
clubbing,interest in Dancing/clubbing
reading,interest in Reading
tv,interest in Watching TV
theater,interest in Theater
movies,interest in Movies
concerts,interest in Going to concerts
music,interest in Music
shopping,interest in Shopping
yoga,interest in Yoga/meditation
exphappy,Overall on a scale of 1-10 how happy do you expect to be with the people you meet during the speed-dating event?
expnum,Out of the 20 people you will meet how many do you expect will be interested in dating you? 
We want to know what you look for in the opposite sex. 
Waves 6-9,Please rate the importance of the following attributes in a potential date on a scale of 1-10 (1=not at all important 10=extremely important),
Waves 1-5 10-21,You have 100 points to distribute among the following attributes -- give more points to those attributes that are more important in a potential date and fewer points to those attributes that are less important in a potential date. Total points must equal 100.
attr1_1,Attractive
sinc1_1,Sincere
intel1_1,Intelligent
fun1_1,Fun
amb1_1,Ambitious
shar1_1,Has shared interests/hobbies
Now we want to know what you think MOST of your fellow men/women look for in the opposite sex.
Waves 6-9,Please rate the importance of the following attributes on a scale of 1-10 (1=not at all important 10=extremely important),
Waves 10-21 ,You have 100 points to distribute among the following attributes -- give more points to those attributes that you think your fellow men/women find more important in a potential date and fewer points to those attributes that they find less important in a potential date. Total points must equal 100.
